# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4 
TYPE F F F 
COUNT 1 1 1 
WIDTH 94645
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 94645
DATA ascii 
 -1.0930597 -0.2167627 5.7216520
 -0.4043089 -0.0587235 6.3084235
 -0.1460776 -0.2641346 6.7493973
 -0.1514691 -0.3008493 6.6801987
 -0.3180863 -0.1510540 6.1302738
 -0.1288715 -0.2040249 6.8609986
 -0.7936491 -0.0538501 6.7196927
 -0.8283087 -0.2653116 6.3142090
 -1.1869940 -0.1516505 6.8502836
 -1.9829404 -0.3244407 8.2477551
 -1.1755258 -0.2319791 6.8174005
 -0.8271828 -0.0605433 7.4565296
 -0.4396032 -0.0673057 6.6726561
 -0.4041375 -0.0590375 6.3071971
 -0.2056029 -0.0397338 4.5770912
 -0.6108124 -0.0296148 4.5684481
 0.0278054 -0.2432895 4.7119412
 -0.6262234 -0.0249389 4.5964584
 0.0569672 -0.0820445 5.7532773
 -0.3880990 -0.0515819 6.1395397
 -0.2175778 -0.2803065 7.3961201
 0.2605675 -0.1844140 5.8135772
 0.0601772 -0.0813576 5.7586408
 0.1843274 -0.0747642 5.7298317
 -0.1839321 -0.0661090 5.6418042
 0.2513046 -0.1813689 5.7495990
 -1.1961001 -0.4961452 6.3369379
 -0.0226038 -0.3506799 5.8892441
 -0.7998697 -0.1021886 5.7742777
 -1.4109787 -0.1564692 5.7514372
 -1.4049070 -0.3808591 5.7698102
 -0.7702679 -0.0791346 5.7444954
 -0.9471941 -0.0918909 5.8828211
 -1.4480730 -0.1303006 5.7454362
 -0.6092676 -0.0261565 4.6397610
 0.0072355 -0.1838422 4.8331919
 -0.6846890 -0.0521898 4.7001429
 -1.3982795 -0.1493573 5.7307343
 -1.1929038 -0.1434224 7.0738096
 -0.1059416 -0.2002647 6.6426115
 -0.3008166 -0.0543995 5.9482522
 -1.1402154 -0.2637954 6.3500185
 -1.1436641 -0.2643688 6.3558636
 -1.1527832 -0.1095362 6.3461275
 -0.4042287 -0.0629342 6.2916594
 -1.1555524 -0.2261555 6.3323727
 -0.5462835 -0.0514321 1.7358848
 -0.1831241 -0.0113724 1.8306382
 -0.0572961 -0.3396149 2.2850976
 0.2250748 -0.1259122 1.7423317
 -0.0918089 -0.0071172 1.6043867
 -0.1827434 -0.0054576 1.6231890
 -0.5190858 0.0070230 1.6795485
 -0.1905273 -0.0087628 1.9138021
 -1.1234803 -0.2230184 6.1781411
 -0.4164832 -0.0508789 5.6890240
 -0.4915959 -0.0506832 5.6601553
 -0.6101438 -0.0430723 5.5915556
 -1.1116278 -0.1527289 5.9800429
 -0.8632287 -0.0409690 5.7586708
 -1.1229882 -0.3150855 5.9638700
 -1.1189717 -0.2538876 5.9775162
 -0.9472686 -0.0356978 3.6745601
 -0.9514267 -0.2696945 3.6094790
 0.1140717 -0.0738793 3.3299878
 -0.9389680 -0.1196361 3.6203690
 -1.6310135 -0.8458048 7.5938401
 -0.4729733 -0.3047646 6.4899416
 -1.3335305 -0.7639659 7.8572087
 -0.7683671 -0.2020126 3.5113673
 -0.6909356 -0.0163364 3.4819193
 -0.9489878 -0.3070919 4.0634222
 -1.0366538 -0.2949834 4.1887465
 -1.0006673 -0.3245694 4.1530571
 -0.6433571 -0.0137331 3.9203188
 -0.9090611 -0.1034571 3.8285708
 -1.0127863 -0.2890365 4.1418500
 -1.2107301 -0.1458551 7.1096301
 -1.1381514 -0.2637425 6.3466043
 -1.1385689 -0.2641412 6.3474083
 -1.1363716 -0.5252918 8.5457258
 -0.1576840 -0.0045234 1.6209255
 -0.0570054 -0.3430674 2.2971897
 0.2210503 -0.1984676 1.7357861
 0.0927619 -0.0861462 1.6793996
 0.1817121 -0.2168759 2.3650680
 -0.1254330 -0.0078110 1.6398776
 0.2396260 -0.0322916 1.6465873
 0.2305032 -0.0701834 1.7154111
 0.2518922 -0.0354237 1.5928407
 0.0287948 -0.0194769 1.6583415
 -0.5112127 -0.0728536 1.8429589
 -0.8339033 -0.2693197 1.9871398
 0.2421266 -0.2064195 1.8285937
 0.2217458 -0.1308711 1.8517594
 0.2238012 -0.0684570 1.6958692
 -0.8992526 -0.1283560 2.8397932
 -0.1319939 -0.3394883 2.7120979
 -0.5538509 -0.1319133 3.8793292
 -0.1497845 -0.4134015 3.0742664
 0.0352103 -0.0941106 2.6331944
 0.0089408 -0.0955257 2.4669137
 -0.1566116 -0.0059576 1.6127226
 -0.8818724 -0.1102194 2.0829418
 0.2202043 -0.1257416 1.7341824
 0.0036325 -0.0065777 1.7913928
 0.1605192 -0.2213603 2.7024946
 -0.0612516 -0.3787379 2.3500097
 -0.1694873 -0.4034820 2.7285824
 0.1012194 -0.0948930 3.4353366
 -0.5136102 -0.0114378 3.3011937
 -0.7685203 -0.1335864 3.5262122
 -0.7622271 -0.2051419 3.5569057
 -0.7572523 -0.2152922 3.5406809
 -1.2312834 -0.2155714 7.3096433
 -0.8430125 -0.0949295 7.0860047
 -0.7925037 -0.3182285 6.6518273
 -0.9156217 -0.3317054 7.0154419
 -0.3954466 -0.0510617 5.6062398
 0.0771412 -0.2505898 5.8914251
 -0.9441217 -0.0712100 5.8983436
 -0.7114207 -0.0324454 5.6177225
 -0.7059280 -0.0646823 5.6601720
 -0.7729148 -0.0879813 6.0396714
 -0.0362615 -0.0531105 5.6404247
 -0.7923521 -0.0431480 6.2144303
